,Unnamed: 0,c/a,entropy,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean BoilingT,MagpieData avg_dev BoilingT,MagpieData mean Density,MagpieData avg_dev Density,MagpieData mean FirstIonizationEnergy,MagpieData avg_dev FirstIonizationEnergy,MagpieData mean HeatCapacityMolar,PymatgenData mean atomic_radius,avg_dev/mean atomic_radius
23,23,1.286388148,9.813052087,64.54339875,10.65267562,1661.681875,241.1874219,1.705,0.218125,2,0.0625,0,8.3125,0.3125,3.75,4.0625,2.0625,13.3095528,0,0.29777488,3209.1875,552.3046875,7911.3125,996.6875,7.297217563,0.410983656,25.996875,1.396875,0.042225951
24,24,1.316741094,8.644238489,65.88721125,12.66839437,1775.75,176.125,1.675,0.235,2,0,0,7.75,0,4.25,4.25,2.25,13.58064655,0,0.29777488,3347,667.5,7949.25,958.75,7.33688,0.35149,25.955,1.4125,0.048672566
25,25,1.197497691,9.813052087,67.30989875,14.80242563,1457.170625,432.8477344,1.763125,0.164453125,2,0.1875,0.875,10.3125,0.9375,2.75,3.6875,1.6875,12.7051778,0,0.29777488,2945.6875,481.6015625,8260.375,1278.828125,7.229840813,0.512048781,26.10375,1.365625,0.029462243
26,26,1.280319617,9.813052087,80.90577375,36.59408484,1732.556875,290.0411719,1.699375,0.224453125,2,0.0625,2.625,10.9375,0.3125,3.75,4.0625,2.0625,13.1229903,0,0.29777488,3245.5625,611.4140625,9186.125,1546.453125,7.333061938,0.357217094,26.06625,1.396875,0.042225951
27,27,1.332582643,8.644238489,87.70371125,45.39314438,1870.25,317.875,1.6675,0.2425,2,0,3.5,11.25,0,4.25,4.25,2.25,13.33189655,0,0.29777488,3395.5,740.25,9649,1830.5,7.3846725,0.27980125,26.0475,1.4125,0.048672566
28,28,1.306717767,9.813052087,59.3381175,3.894330937,1436.983125,425.2774219,1.78375,0.13609375,2,0.1875,0,9.5,0.9375,2.6875,3.625,1.625,12.1308028,0,0.29777488,2870.9375,416.1953125,7810.375,1097.625,7.224910813,0.519443781,26.05125,1.353125,0.017321016
29,29,1.344053497,10.0849449,58.16427375,3.418807812,1554.48875,330.6390625,1.7725,0.146875,2,0.125,0,9,0.625,3.125,3.75,1.75,11.76533405,0,0.29777488,2946.125,423.34375,7823.25,1084.75,7.271591375,0.449422938,25.98,1.35625,0.016129032
30,30,1.412021742,9.813052087,56.99043,3.29454125,1671.994375,247.6327344,1.76125,0.15484375,2,0.0625,0,8.5,0.3125,3.5625,3.875,1.875,11.3998653,0,0.29777488,3021.3125,411.6953125,7836.125,1071.875,7.318271938,0.379402094,25.90875,1.359375,0.014942529
31,31,1.435094704,8.644238489,55.81658625,2.87681375,1789.5,196.75,1.75,0.16,2,0,0,8,0,4,4,2,11.03439655,0,0.29777488,3096.5,381.25,7849,1059,7.3649525,0.30938125,25.8375,1.3625,0.013761468
32,32,1.295098568,9.813052087,61.9609225,6.77896125,1472.420625,438.5664844,1.781875,0.138671875,1.9375,0.1875,0,9.5,0.9375,2.625,3.625,1.625,12.4539278,0,0.29777488,2954.5,489.3125,7964.125,1019.609375,7.225702063,0.518256906,26.033125,1.359375,0.023275862
33,33,1.374974917,10.0849449,63.40988375,8.952403125,1625.36375,383.7953125,1.76875,0.1515625,1.875,0.125,0,9,0.625,3,3.75,1.75,12.41158405,0,0.29777488,3113.25,548.6875,8130.75,887.0625,7.273173875,0.447049188,25.94375,1.36875,0.026255708
